,username,date,tweet,language,hashtags
1364,emmanuelmacron,2020-02-11,Aux personnes en situation de handicap : beaucoup je le sais reste à faire. Mais je vous fais une promesse : jamais nous ne nous habituerons au décalage entre vos droits et votre réalité. Toujours nous agirons concrètement pour vous permettre de vivre votre vie. Tout simplement.,fr,[]
1363,emmanuelmacron,2020-02-12,Nous allons protéger le Mont Blanc ! Des mesures concrètes. Je serai dès demain chez vous.,fr,[]
1362,emmanuelmacron,2020-02-13,"Mer de Glace, 1910-2020.  Voilà pour quoi nous nous battons.  https://t.co/BVr99M7UjZ",fr,[]
1361,emmanuelmacron,2020-02-17,L’écologie est le combat du siècle.  https://t.co/fdaypHJ4oz  https://t.co/P0ydAVV8HW,fr,[]
1360,emmanuelmacron,2020-02-20,Une immense tristesse et mon plein soutien à l’Allemagne face à cette attaque tragique. Nos pensées vont aux victimes et aux familles en deuil. Je suis aux côtés de la Chancelière Merkel dans ce combat pour nos valeurs et la protection de nos démocraties.,fr,[]
1359,emmanuelmacron,2020-02-20,"Monument du journalisme, éclaireur de la gauche, Jean Daniel est mort. La France perd une conscience, de ces hommes qui font l'Histoire à la seule force de leur plume.",fr,[]
1358,emmanuelmacron,2020-02-21,"La République pleure ce jour un de ses serviteurs les plus passionnés. Michel Charasse s’en est allé. L’esprit de ses combats, la force de son engagement ne nous quitteront pas.",fr,[]
1357,emmanuelmacron,2020-02-21,"Durant deux jours, nous avons défendu la politique agricole commune, un levier important de la transition environnementale. Nous avons obtenu des premières améliorations pour défendre nos paysans. Mais c’est encore insuffisant. Le travail va se poursuivre.  https://t.co/SXgRdG01W6",fr,[]
1356,emmanuelmacron,2020-02-23,"Tous avec nos agriculteurs au cœur de changements très profonds : pour l’environnement, la qualité, la sécurité alimentaire. Comptez sur mon engagement pour vous accompagner et réussir cette transformation engagée ensemble.  https://t.co/0OtlvF4wXi",fr,[]
1355,emmanuelmacron,2020-02-27,"Toutes les informations pour faire face au coronavirus, adopter les gestes simples et réduire les risques :  https://t.co/iuP8oSQgF5",fr,[]
1354,emmanuelmacron,2020-02-27,Mobilisation remarquable des personnels de santé pour faire face au coronavirus. Merci. Je reviendrai à vos côtés.,fr,[]
1353,emmanuelmacron,2020-03-01,"Pleine solidarité avec la Grèce et la Bulgarie, la France est prête à contribuer aux efforts européens pour leur prêter une assistance rapide et protéger les frontières. Nous devons agir ensemble pour éviter une crise humanitaire et migratoire.",fr,[]
1352,emmanuelmacron,2020-03-03,Nous réquisitionnons tous les stocks et la production de masques de protection. Nous les distribuerons aux professionnels de santé et aux Français atteints par le Coronavirus.,fr,[]
1350,emmanuelmacron,2020-03-04,"Excellente discussion avec @realDonaldTrump. Pour mieux agir face au Covid-19, prêts à coordonner notre réponse en matière scientifique, sanitaire et économique, dans le cadre de la présidence américaine du G7.",fr,[]
1351,emmanuelmacron,2020-03-04,"Face au Coronavirus, nous nous sommes réunis en Conseil de défense, déterminés à protéger les Français. Je veillerai à la mise en œuvre des mesures décidées.  https://t.co/aCHhqjK2ug",fr,[]
1348,emmanuelmacron,2020-03-05,Chercheurs des secteurs public et privé unissent leurs forces contre le Coronavirus. Je m’assurerai qu’ils aient à chaque étape les moyens nécessaires pour faire avancer leurs travaux.  https://t.co/QAT0yDDGPB,fr,[]
1347,emmanuelmacron,2020-03-05,"Je salue la décision historique du Président @AOuattara_PRCI, homme de parole et homme d’État, de ne pas se présenter à la prochaine élection présidentielle. Ce soir, la Côte d’Ivoire donne l’exemple.",fr,[]
1346,emmanuelmacron,2020-03-06,"Protéger les Français, c'est aussi être aux côtés des plus vulnérables et de celles et ceux qui les accompagnent au quotidien. La Nation est avec ses aînés.  https://t.co/WpyBH4SBVH",fr,[]
1345,emmanuelmacron,2020-03-08,"Notre génération sera celle de l’égalité femmes-hommes. Rendez-vous le 7 juillet, à Paris, au Forum #GénérationÉgalité pour défendre par les actes les droits des femmes partout dans le monde. #8mars  https://t.co/BDRz29TpeU",fr,"['générationégalité', '8mars']"
1344,emmanuelmacron,2020-03-09,"Pour faire face au Covid-19, l’union fait la force. J’appelle nos partenaires européens à une action urgente pour coordonner les mesures sanitaires, les efforts de recherche et notre réponse économique. Agissons ensemble dès maintenant.",fr,[]
1343,emmanuelmacron,2020-03-09,"Avec Brigitte, aux côtés des équipes du @CafeJoyeux, qui s'ouvre à tous les ""cœurs ouverts à l'inconnu"" de la plus belle avenue du monde. Bravo !  https://t.co/1htwuR4u46",fr,[]
1340,emmanuelmacron,2020-03-10,"Face au Coronavirus, ne laissons aucune place à la spéculation et à l’instabilité. L’Europe devra faire tout ce qui est nécessaire sur le plan sanitaire comme sur le plan économique.  https://t.co/oaOLYTv50A",fr,[]
1342,emmanuelmacron,2020-03-10,"Merci à tous les SAMU de France, tous les soignants : étudiants en médecine, réservistes, retraités qui reviennent prêter main forte, et l'ensemble des personnels mobilisés.  https://t.co/wCzYTE6G9M",fr,[]
1341,emmanuelmacron,2020-03-10,Nous sommes préparés.  https://t.co/DV436wpPQ0,fr,[]
1339,emmanuelmacron,2020-03-11,"Les terroristes tuent de manière aveugle et cherchent à supprimer jusqu’aux traces même des existences fauchées. À tous les projets d’oubli et d’effacement, la Nation résistera. Nous dirons les noms, nous nous souviendrons des visages :  https://t.co/2emYKzAWeH",fr,[]
1338,emmanuelmacron,2020-03-11,"Nous ne renoncerons à rien. Surtout pas à rire, à chanter, à penser, à aimer. Surtout pas aux terrasses, aux salles de concert, aux fêtes de soir d’été. Surtout pas à la liberté. Surtout pas à notre esprit de résistance qui fait la République si grande, la France si forte.  https://t.co/SoBnuWqcof",fr,[]
1324,emmanuelmacron,2020-03-12,"La France unie, c’est notre meilleur atout dans la période troublée par le Covid-19 que nous traversons. Nous tiendrons. Tous ensemble.",fr,[]
1325,emmanuelmacron,2020-03-12,"Ne pas rendre visite à nos aînés, est - j’en ai bien conscience - un crève-cœur. C’est pourtant nécessaire, temporairement pour les protéger du Covid-19.",fr,[]
1326,emmanuelmacron,2020-03-12,"Se laver les mains, saluer sans s'embrasser... Ces gestes peuvent paraître anodins. Ils sauvent des vies.",fr,[]
1327,emmanuelmacron,2020-03-12,"Covid-19 : nous n'ajouterons pas aux difficultés sanitaires la peur de la faillite pour les entrepreneurs, l'angoisse du chômage et des fins de mois pour les salariés. Nous vous protégerons.",fr,[]
1328,emmanuelmacron,2020-03-12,"De nombreux programmes et essais cliniques sont en cours pour produire des diagnostics rapides, performants, efficaces. L'Europe a tous les atouts pour offrir au monde, dans les prochains mois, l'antidote au Covid-19.",fr,[]
1330,emmanuelmacron,2020-03-12,"Pour accueillir les cas graves de Covid-19, des places doivent se libérer dans les hôpitaux. Toutes les capacités nationales ainsi que le maximum de médecins et de soignants seront mobilisés. Les soins non essentiels seront reportés.",fr,[]
1329,emmanuelmacron,2020-03-12,"Pour protéger et freiner la propagation du Covid-19 : dès lundi et jusqu’à nouvel ordre, les crèches, les écoles, les collèges, les lycées et les universités seront fermés.  https://t.co/mcQnqrMymy",fr,[]
1332,emmanuelmacron,2020-03-12,J'ai interrogé nos scientifiques sur les élections municipales : elles pourront se tenir.,fr,[]
1333,emmanuelmacron,2020-03-12,"Je demande à toutes les personnes âgées de plus de 70 ans, à celles et ceux qui souffrent de maladies chroniques ou de troubles respiratoires, aux personnes en situation de handicap, de rester autant que possible à leur domicile.  https://t.co/d244N1V7zf",fr,[]
1334,emmanuelmacron,2020-03-12,Reconnaissance de la Nation à nos héros en « blouses blanches ».  https://t.co/5uI3pG6YlT,fr,[]
1335,emmanuelmacron,2020-03-12,"Le Covid-19 qui affecte tous les continents et frappe tous les pays européens, est la plus grave crise sanitaire qu’ait connue la France depuis un siècle.",fr,[]
1336,emmanuelmacron,2020-03-12,"Depuis quelques semaines, notre pays fait face à la propagation d’un virus, le Covid-19, qui a touché plusieurs milliers de nos compatriotes et j’ai bien entendu ce soir une pensée émue et chaleureuse pour les familles et les proches de nos victimes.",fr,[]
1337,emmanuelmacron,2020-03-12,Adresse aux Français.  https://t.co/HTCoKtf5CZ,fr,[]
1331,emmanuelmacron,2020-03-12,"Les transports publics seront maintenus, car les arrêter ce serait tout bloquer, y compris la possibilité de se soigner. J'invite tous les Français à limiter leurs déplacements au strict nécessaire.",fr,[]
1323,emmanuelmacron,2020-03-13,"Après un échange avec @realDonaldTrump et les dirigeants du G7, nous tiendrons un sommet extraordinaire du G7 par visioconférence ce lundi sur le Covid-19. Nous coordonnerons nos efforts sur le vaccin et les traitements, et travaillerons à une réponse économique et financière.",fr,[]
1321,emmanuelmacron,2020-03-14,À nos compatriotes bloqués au Maroc : de nouveaux vols sont en cours d’organisation pour vous permettre de regagner la France. Je demande aux autorités marocaines de veiller à ce que tout le nécessaire soit fait au plus vite.,fr,[]
1320,emmanuelmacron,2020-03-14,"J’ai parlé ce matin au Président de la République italienne Sergio Mattarella pour exprimer le soutien de la France à l’Italie. Sur les frontières comme pour notre économie, nous devons agir vite et ensemble au niveau européen.",fr,[]
