,username,date,tweet,language,hashtags
1036,borisjohnson,2020-03-19,We're going to step up testing for #coronavirus #COVID19  https://t.co/A7cNeBOd1J,en,"['coronavirus', 'covid19']"
1030,borisjohnson,2020-03-19,"I say to business, stand by your employees, stand by your workers, because we will stand by you.  I have absolutely no doubt that we will turn the tide of this disease and beat it together.  5/5",en,[]
1035,borisjohnson,2020-03-19,"I want to say a huge thank you on behalf of the whole country to everyone working in our NHS, of every specialism and role, in our fight against the coronavirus pandemic. We’ve never needed you more than we do today.",en,[]
1027,borisjohnson,2020-03-20,"We can beat this together, but only if we follow government advice and look out for each other.  https://t.co/mavBWIHylf",en,[]
1026,borisjohnson,2020-03-20,NHS staff are doing extraordinary work across the country to help our fight against coronavirus.  We now need to play our part in supporting them by following the government's guidance and working from home if you possibly can.,en,[]
1025,borisjohnson,2020-03-20,"We are telling cafes, pubs, bars and restaurants to close tonight as soon as they reasonably can, and not to open tomorrow.  As far as possible we want you to stay at home.  That’s how we can protect our NHS and save lives.  ➡  https://t.co/kdHUGOW5he  https://t.co/8Hko4bfBnh",en,[]
1024,borisjohnson,2020-03-20,"We are supporting businesses and workers in a way that government has never done before.   If people stay home, then we will not only save thousands of lives, but we will come out of this pandemic all the faster. #StayHomeSaveLives",en,['stayhomesavelives']
1022,borisjohnson,2020-03-20,"To those going against the advice we're getting from our experts, you're not only putting your own life and the lives of your family at risk, you're endangering the community and you're making it more difficult for us to protect the NHS and save lives. #StayHomeSaveLives  https://t.co/WLw17OboHR",en,['stayhomesavelives']
1023,borisjohnson,2020-03-20,"The more we follow the advice, the faster the country will stage both a medical and an economic recovery in full. #StayHomeSaveLives  https://t.co/ik06dvasiH",en,['stayhomesavelives']
1021,borisjohnson,2020-03-21,"We want to protect you. But to do so, we need you to do your bit. #StayHomeSaveLives  https://t.co/oSAzFF5AWk",en,['stayhomesavelives']
1020,borisjohnson,2020-03-21,"The coming months will be challenging, but I want to assure businesses that we are with them every step of the way.  Stand by your employees, stand by your workers, because we will stand by you.  https://t.co/IqTDLOmBve",en,[]
1019,borisjohnson,2020-03-21,Josephine sets a great example to us all by postponing her birthday party until we have sent coronavirus packing.  Together we can beat this. In the meantime let's all wish her happy birthday (twice) whilst washing our hands. #BeLikeJosephine #StayHomeSaveLives  https://t.co/yl7uxe9lhh,en,"['belikejosephine', 'stayhomesavelives']"
1018,borisjohnson,2020-03-21,Our amazing NHS staff want to be there to help you and your loved ones over the coming weeks and months.  You can help them right now by staying inside. #StayHomeSaveLives,en,['stayhomesavelives']
1017,borisjohnson,2020-03-21,Thank you @MariaCaulfield!,en,[]
1012,borisjohnson,2020-03-22,Stay two metres apart.  It's not such a difficult thing.  Do it. It really will save lives.   #coronavirus #StaySafeSaveLives  https://t.co/SSbrwxjEar,en,"['coronavirus', 'staysafesavelives']"
1013,borisjohnson,2020-03-22,We need you to do your bit to help us beat #coronavirus  Please RT.  #StayHomeSaveLives  https://t.co/mSGgGsQDSH,en,"['coronavirus', 'stayhomesavelives']"
